Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,24990.0,24990.0,24000.0,24990.0,22405.75390625,38538
2022-06-08,24800.0,24800.0,24400.0,24800.0,22235.40234375,20832
2022-06-09,23500.0,24300.0,23500.0,23500.0,21069.8359375,39502
2022-06-10,23400.0,24000.0,23340.0,23400.0,20980.177734375,66051
2022-06-13,23410.0,23500.0,22810.0,23410.0,20989.14453125,103060
2022-06-14,23000.0,23460.0,22750.0,23000.0,20621.541015625,43391
2022-06-15,22500.0,23490.0,22200.0,22500.0,20173.248046875,38101
2022-06-16,23300.0,23300.0,22450.0,23300.0,20890.517578125,22089
2022-06-17,23300.0,23600.0,22820.0,23300.0,20890.517578125,14548
2022-06-20,23300.0,23300.0,23300.0,23300.0,20890.517578125,0
2022-06-21,21830.0,22800.0,21560.0,21830.0,19572.533203125,22139
2022-06-22,21750.0,22500.0,21750.0,21750.0,19500.806640625,25265
2022-06-23,21600.0,22800.0,21600.0,21600.0,19366.318359375,36512
2022-06-24,22000.0,22250.0,21200.0,22000.0,19724.955078125,35090
2022-06-27,22000.0,22000.0,22000.0,22000.0,19724.955078125,0
2022-06-28,22000.0,22000.0,22000.0,22000.0,19724.955078125,0
2022-06-29,22000.0,22000.0,22000.0,22000.0,19724.955078125,0
2022-06-30,20500.0,21470.0,20500.0,20500.0,18380.0703125,338109
2022-07-01,20780.0,21000.0,20550.0,20780.0,18631.115234375,48206
2022-07-04,20780.0,20780.0,20780.0,20780.0,18631.115234375,0
2022-07-05,20710.0,21020.0,20510.0,20710.0,18568.35546875,25359
2022-07-06,20710.0,21020.0,20510.0,20710.0,18568.35546875,25359
2022-07-07,21500.0,21600.0,21010.0,21500.0,19276.658203125,53898
2022-07-08,21160.0,21600.0,21120.0,21160.0,18971.818359375,28047
2022-07-11,20560.0,21160.0,20560.0,20560.0,18433.865234375,27491
2022-07-12,20500.0,20600.0,20250.0,20500.0,18380.0703125,22903
2022-07-13,20500.0,20990.0,20500.0,20500.0,18380.0703125,5960
2022-07-14,19150.0,20300.0,19040.0,19150.0,17169.673828125,103479
2022-07-15,18800.0,19630.0,18800.0,18800.0,16855.869140625,125233
2022-07-18,19670.0,19670.0,19000.0,19670.0,17635.900390625,32518
2022-07-19,19800.0,20890.0,19800.0,19800.0,17752.458984375,19065
2022-07-20,19800.0,19800.0,19800.0,19800.0,17752.458984375,0
2022-07-21,20400.0,20400.0,19200.0,20400.0,18290.41015625,136726
2022-07-22,19690.0,20400.0,19680.0,19690.0,17653.83203125,9253
